URN,School_Name,Type_of_school,Overall_rate_of_absence,Persistent_absence
112858,Stoney Middleton CofE (C) Primary School,Maintained school,28.8%,43.8%
118631,Ulcombe Church of England Primary School,Maintained school,19.9%,67.1%
125639,Loxley CofE Community Primary School,Maintained school,19.2%,51.4%
123513,Weston Lullingfields CofE School,Maintained school,16%,29.2%
115548,Walmore Hill Primary School,Maintained school,14.6%,42.6%
116794,Cleeve Prior CofE (Controlled) Primary School,Maintained school,13.7%,30.6%
112807,Castleton CofE Primary School,Maintained school,13.3%,66.7%
109482,Stanbridge Lower School,Maintained school,13.1%,36.3%
119583,St Patrick's Catholic Primary School,Maintained school,11.2%,43.2%
106839,Ferham Primary School,Maintained school,10.9%,48.7%
118536,Parkside Community Primary School,Maintained school,10.4%,36.2%
113495,Rackenford Church of England Primary School,Maintained school,10.4%,34%
125696,Wilmcote CofE (Voluntary Aided) Primary School,Maintained school,10.4%,27.4%
111462,Pott Shrigley Church School,Maintained school,9.9%,34.6%
118245,Darenth Community Primary School,Maintained school,9.7%,28.9%
112300,Blackford CofE Primary School,Maintained school,9.6%,23.5%
116740,St Weonard's Primary School,Maintained school,9.2%,25%
110804,Wilburton CofE Primary School,Maintained school,9.2%,21.9%
121036,Erpingham Voluntary Controlled Church of England Primary School,Maintained school,9%,21.6%
111129,Horn's Mill Primary School,Maintained school,8.9%,28%
112250,Houghton CofE School,Maintained school,8.8%,23.3%
109252,St Pius X RC Primary School,Maintained school,8.8%,34.1%
122290,Embleton Vincent Edwards Church of England Primary School,Maintained school,8.7%,11.5%
123560,Onny CofE (A) Primary School,Maintained school,8.6%,18.6%
119209,Pinfold Primary School,Maintained school,8.5%,30.2%
117497,St Mary's Church of England Primary School,Maintained school,8.5%,25.5%
118274,Halstead Community Primary School,Maintained school,8.4%,28.6%
110460,Cadmore End CofE School,Maintained school,8.3%,27%
101243,Eastbrook School,Maintained school,8.3%,24.5%
105087,Holy Cross Catholic Primary School,Maintained school,8.3%,31.5%
112846,Long Lane Church of England Primary School,Maintained school,8.3%,33.3%
130882,Newbold and Tredington CofE Primary School,Maintained school,8.3%,12.6%
106672,Askern Moss Road Infant School,Maintained school,8.2%,24.2%
116802,Defford-Cum-Besford CofE School,Maintained school,8.2%,31%
111225,Elton Primary School,Maintained school,8.2%,25.3%
121454,Luttons Community Primary School,Maintained school,8.2%,22.6%
111314,Runcorn All Saints CofE Primary School,Maintained school,8.2%,31.1%
124718,Whatfield Church of England Voluntary Controlled Primary School,Maintained school,8.2%,19.6%
117393,Essendon CofE (VC) Primary School,Maintained school,8.1%,27.7%
121087,Great Massingham CofE Primary School,Maintained school,8.1%,32.6%
116263,Mason Moor Primary School,Maintained school,8.1%,23.6%
120611,The Cowbit St Mary's (Endowed) CofE Primary,Maintained school,8%,21.7%
110374,Iver Village Infant School,Maintained school,8%,23.2%
104853,Linacre Primary School,Maintained school,7.9%,31.5%
122498,Netherfield Infant School (Welbeck Federation of Schools),Maintained school,7.9%,22.5%
110253,Thornborough Infant School,Maintained school,7.9%,SUPPopens a popup
112619,Brookfield Primary School,Maintained school,7.7%,27.1%
102986,Foresters Primary School,Maintained school,7.7%,24.2%
117101,Gaddesden Row JMI School,Maintained school,7.7%,16.7%
110663,Shirley Community Primary School,Maintained school,7.7%,24.5%
112858,Stoney Middleton CofE (C) Primary School,Maintained school,5.5%,13.7%
118631,Ulcombe Church of England Primary School,Maintained school,4%,43.8%
125639,Loxley CofE Community Primary School,Maintained school,28.8%,67.1%
123513,Weston Lullingfields CofE School,England - state-funded secondary schools,19.9%,51.4%
115548,Walmore Hill Primary School,England - state-funded primary schools,19.2%,29.2%
116794,Cleeve Prior CofE (Controlled) Primary School,Maintained school,16%,42.6%
112807,Castleton CofE Primary School,Maintained school,14.6%,30.6%
109482,Stanbridge Lower School,Maintained school,13.7%,66.7%
119583,St Patrick's Catholic Primary School,Maintained school,13.3%,36.3%
106839,Ferham Primary School,Maintained school,13.1%,43.2%
118536,Parkside Community Primary School,Maintained school,11.2%,48.7%
113495,Rackenford Church of England Primary School,Maintained school,10.9%,36.2%
125696,Wilmcote CofE (Voluntary Aided) Primary School,Maintained school,10.4%,34%
111462,Pott Shrigley Church School,Maintained school,10.4%,27.4%
118245,Darenth Community Primary School,Maintained school,10.4%,34.6%
112300,Blackford CofE Primary School,Maintained school,9.9%,28.9%
